Tech00-B01-R01-T03-N03;3;3;105;205;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3694;254;760;1701;760;3440;3434;6;(1014.8, 1121.7);(425.2, 2078.3);(1010.6, 1139.0);(1452.2, 1154.5);(34.9, 1188.1);(446.7, 2091.1);(1014.8, 1121.7);(1456.5, 1137.2);(-123.0, 1121.7);(428.3, 2040.1);3#105#205#(34.9, 1188.1)#(34.9, 1188.1)#1630272346005#1630272346005#0#;3#105#205#1014.807#1121.658#1630272343075#1630272344776#1630272343329#1630272346769#1010.557#1138.983#1452.203#1154.479#1014.807#1121.658#1456.454#1137.155#;3#105#205#425.1929#2078.342#1630272346005#1630272346765#1630272343331#1630272346765#34.85156#1188.119#446.7328#2091.089#-123.0137#1121.658#428.3349#2040.125#;concave;180;1630272346994;29.78573;2021/8/29 14:25:41;2021/8/29 14:25:46;
11;direct_drag;protrait;90;Tech00-B01-R01-T03-N03;3;3;105;205;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3694;254;760;1701;760;3440;3434;6;(1014.8, 1121.7);(425.2, 2078.3);(1010.6, 1139.0);(1452.2, 1154.5);(34.9, 1188.1);(446.7, 2091.1);(1014.8, 1121.7);(1456.5, 1137.2);(-123.0, 1121.7);(428.3, 2040.1);3#105#205#(34.9, 1188.1)#(34.9, 1188.1)#1630272346005#1630272346005#0#;3#105#205#1014.807#1121.658#1630272343075#1630272344776#1630272343329#1630272346769#1010.557#1138.983#1452.203#1154.479#1014.807#1121.658#1456.454#1137.155#;3#105#205#425.1929#2078.342#1630272346005#1630272346765#1630272343331#1630272346765#34.85156#1188.119#446.7328#2091.089#-123.0137#1121.658#428.3349#2040.125#;concave;180;1630272346994;29.78573;2021/8/29 14:25:41;2021/8/29 14:25:46;
Tech00-B01-R01-T01-N01;1;1;200;100;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2538;481;854;778;854;2057;2044;13;(850.4, 643.3);(589.6, 2556.7);(922.0, 657.4);(82.4, 966.3);(1390.2, 945.3);(561.2, 2541.4);(850.4, 643.3);(10.8, 952.2);(1553.8, 888.9);(621.7, 2548.4);1#200#100#(1390.2, 945.3)#(1390.2, 945.3)#1630272475475#1630272475475#0#;1#200#100#850.3857#643.316#1630272473796#1630272474574#1630272474277#1630272476334#921.9803#657.4257#82.37631#966.3365#850.3857#643.316#10.78171#952.2268#;1#200#100#589.6143#2556.684#1630272475475#1630272476329#1630272474285#1630272476329#1390.218#945.2784#561.1623#2541.404#1553.752#888.8605#621.726#2548.353#;concave;180;1630272476567;17.06039;2021/8/29 14:27:52;2021/8/29 14:27:56;
Tech00-B01-R01-T02-N02;2;2;203;103;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2274;279;755;633;755;1995;1985;10;(425.2, 1121.7);(1014.8, 2078.3);(335.8, 1101.0);(-44.4, 1172.3);(1367.0, 1224.2);(878.8, 2115.3);(425.2, 1121.7);(45.0, 1192.9);(1556.3, 1145.4);(996.9, 2084.0);2#203#103#(1367.0, 1224.2)#(1367.0, 1224.2)#1630272479292#1630272479292#0#;2#203#103#425.1929#1121.658#1630272477778#1630272478411#1630272478057#1630272480052#335.8416#1100.99#-44.35636#1172.277#425.1929#1121.658#44.99481#1192.945#;2#203#103#1014.807#2078.342#1630272479292#1630272480047#1630272478062#1630272480047#1366.973#1224.213#878.8378#2115.254#1556.282#1145.42#996.8594#2083.987#;concave;180;1630272480278;20.77598;2021/8/29 14:27:56;2021/8/29 14:28:00;
Tech00-B01-R01-T03-N03;3;3;205;105;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2238;367;777;774;777;1871;1858;13;(425.2, 2078.3);(1014.8, 1121.7);(359.6, 1988.1);(-76.0, 1647.5);(1374.7, 1673.6);(995.1, 1108.0);(425.2, 2078.3);(-10.5, 1737.7);(1556.3, 1832.8);(1049.9, 1172.1);3#205#105#(1374.7, 1673.6)#(1374.7, 1673.6)#1630272482973#1630272482973#0#;3#205#105#425.1929#2078.342#1630272481520#1630272482294#1630272481887#1630272483758#359.604#1988.119#-76.03953#1647.525#425.1929#2078.342#-10.45083#1737.748#;3#205#105#1014.807#1121.658#1630272482973#1630272483750#1630272481892#1630272483750#1374.722#1673.608#995.0606#1107.99#1556.282#1832.798#1049.888#1172.131#;concave;180;1630272483987;24.48396;2021/8/29 14:28:00;2021/8/29 14:28:03;
Tech00-B01-R01-T01-N01;1;1;101;201;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;4226;496;1378;895;1377;3730;3723;7;(160.0, 1600.0);(1280.0, 1600.0);(197.0, 1541.9);(1490.9, 1518.6);(90.3, 1576.2);(1318.0, 1592.1);(160.0, 1600.0);(1453.9, 1576.8);(-117.8, 1476.0);(1241.7, 1592.6);1#101#201#(90.3, 1576.2)#(90.3, 1576.2)#1630272509186#1630272509186#0#;1#101#201#160#1600#1630272506342#1630272507237#1630272506838#1630272510568#196.9976#1541.889#1490.944#1518.644#160#1600#1453.947#1576.755#;1#101#201#1280#1600#1630272509186#1630272510563#1630272506841#1630272510564#90.2971#1576.238#1318.02#1592.079#-117.7724#1476.029#1241.669#1592.597#;concave;180;1630272510796;21.31807;2021/8/29 14:28:25;2021/8/29 14:28:30;
Tech00-B01-R01-T02-N02;2;2;206;106;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2519;414;867;726;867;2105;2096;9;(1280.0, 160.0);(160.0, 3040.0);(1318.0, 198.0);(-4.8, 1053.5);(1398.0, 1022.8);(135.0, 3122.5);(1280.0, 160.0);(-42.8, 1015.4);(1555.6, 904.6);(211.8, 3022.2);2#206#106#(1398.0, 1022.8)#(1398.0, 1022.8)#1630272513110#1630272513110#0#;2#206#106#1280#159.9999#1630272511465#1630272512191#1630272511879#1630272513984#1318.02#198.0197#-4.752403#1053.465#1280#159.9999#-42.77235#1015.446#;2#206#106#160#3040#1630272513110#1630272513977#1630272511881#1630272513977#1397.966#1022.76#135.0121#3122.518#1555.643#904.5546#211.7554#3022.225#;concave;180;1630272514233;24.76027;2021/8/29 14:28:30;2021/8/29 14:28:34;
Tech00-B01-R01-T01-N01;1;1;207;106;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2917;435;660;755;660;2482;2473;9;(1280.0, 3040.0);(160.0, 3040.0);(1333.9, 3097.0);(-36.4, 2605.9);(1359.2, 2502.7);(135.0, 2975.3);(1280.0, 3040.0);(-90.3, 2548.9);(1547.7, 2493.5);(179.7, 2998.3);1#207#106#(1359.2, 2502.7)#(1359.2, 2502.7)#1630272988038#1630272988038#0#;1#207#106#1280#3040#1630272985784#1630272986539#1630272986219#1630272988701#1333.861#3097.03#-36.43557#2605.941#1280#3040#-90.29697#2548.911#;1#207#106#160#3040#1630272988038#1630272988698#1630272986225#1630272988698#1359.225#2502.664#135.0121#2975.303#1547.723#2493.465#179.7272#2998.305#;concave;180;1630272988949;25.11983;2021/8/29 14:36:23;2021/8/29 14:36:28;
Tech00-B01-R01-T02-N02;2;2;203;103;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2305;388;738;707;738;1917;1908;9;(425.2, 1121.7);(1014.8, 2078.3);(470.5, 1077.2);(-44.4, 1243.6);(1351.5, 1355.9);(995.1, 2138.5);(425.2, 1121.7);(-89.7, 1288.0);(1516.7, 1200.9);(993.9, 2070.6);2#203#103#(1351.5, 1355.9)#(1351.5, 1355.9)#1630272991779#1630272991779#0#;2#203#103#425.1929#1121.658#1630272990218#1630272990925#1630272990606#1630272992523#470.4951#1077.228#-44.35636#1243.564#425.1929#1121.658#-89.65865#1287.995#;2#203#103#1014.807#2078.342#1630272991779#1630272992517#1630272990609#1630272992517#1351.477#1355.932#995.0606#2138.499#1516.678#1200.866#993.9248#2070.561#;concave;180;1630272992745;28.92237;2021/8/29 14:36:28;2021/8/29 14:36:32;
Tech00-B01-R01-T03-N03;3;3;107;207;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3220;488;982;1279;982;2732;2720;12;(160.0, 160.0);(1280.0, 3040.0);(96.3, 162.7);(1351.5, 1417.9);(74.5, 1409.9);(1357.6, 3025.7);(160.0, 160.0);(1415.2, 1415.2);(-102.3, 1051.0);(1258.4, 3031.0);3#107#207#(74.5, 1409.9)#(74.5, 1409.9)#1630272995828#1630272995828#0#;3#107#207#160#159.9999#1630272993597#1630272994876#1630272994085#1630272996817#96.27121#162.7119#1351.477#1417.918#160#159.9999#1415.206#1415.206#;3#107#207#1280#3040#1630272995828#1630272996810#1630272994090#1630272996810#74.45552#1409.901#1357.624#3025.743#-102.276#1051.041#1258.374#3031.047#;concave;180;1630272997038;33.21169;2021/8/29 14:36:32;2021/8/29 14:36:37;
